taxa	Crude Oil	PD5	PD6	PF7	FLU	HEX	OIL	PHE	PHE+FLU	PHE+HEX	PHE+OIL	PHE+PYR	PYR	FAR_Island_C	NOR_Island_C	NOR_Island_W	PRI_Island_W	SAN_Island_W
Dictyoglomales	0	0	0	0	0	0	0	0	0	0	0	0	0	3	6	0	6	1
Dissociodihaplophasida	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	1
Distoseptisporales	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diversisporales	0	37	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dothideales	0	43	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ebriida	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectothiorhodospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ectothiorhodospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	17	34	12	39	32
Elsterales	0	1905	782	330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	3
Enterobacterales	0	0	0	0	447	81	6668	1191	1182	300	433	654	1900	0	0	0	0	0
Enterobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	145	522	7290	3594	2395
Entomobryomorpha	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelotrichales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	1	6	4
Erysiphales	0	0	187	2166	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Erythrobasidiales	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	6	11	10
Eurotiales	0	8548	3692	205	0	0	0	0	0	0	0	0	0	17	108	4	5	14
Exiguobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	7
Fabales	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fibrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4
Filobasidiales	0	537	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fimbriimonadales	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacteriales	0	0	0	0	1356	23495	12699	1301	350	4093	74	114	4355	0	0	0	0	0
Flavobacteriales	0	975	646	1561	0	0	0	0	0	0	0	0	0	58	225	169	373	681
Francisellales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	8	35	28
Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	3	34	15	38	16
Gaiellales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gaiellales	0	315	586	765	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemmatales	0	488	283	656	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gemmatimonadales	0	168	422	830	0	0	0	0	0	0	0	0	0	1	1	0	1	0
Geobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	44	116	26	45	59
Gloeobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Glomerales	0	114	905	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glomerellales	0	102	33	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0
Halanaerobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	28	3	3	7
Haliangiales	0	54	303	123	0	0	0	0	0	0	0	0	0	13	62	6	8	28
Halobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	14	44	2	5	18
Halobacteroidales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	6	3
Haloplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
Halothiobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9	3	9	7
Heliobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1	3	5
Helotiales	0	27562	6588	98047	0	0	0	0	0	0	0	0	0	1	5	0	0	3
Hydrogenothermales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	9	13
Hymenochaetales	0	0	812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hymenostomatida	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypocreales	0	2070	2278	308	0	0	0	0	0	0	0	0	0	1	8	1	2	1
Hysteriales	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IMCC26256	0	1171	273	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Isosphaerales	0	176	184	169	0	0	0	0	0	0	0	0	0	11	45	3	3	13
Kickxellales	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Korarchaeales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Kriegeriales	0	241	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ktedonobacterales	0	3184	1857	1898	0	0	0	0	0	0	0	0	0	14	52	0	5	13
Kyrpidiales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	16	1	6	7
Lachnospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	10	39	3	21	10
Lactobacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	27	71	66	52	31
Lecanorales	0	0	42	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Legionellales	0	20	0	0	0	0	0	0	0	0	0	0	0	9	27	7	32	31
Lentisphaerales	0	0	0	0	0	0	0	0	0	0	0	0	0	7	36	0	14	24
Leptospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14	2	17	14
Leptospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	11	33	0	3	8
Leucosporidiales	0	1386	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Magnaporthales	0	234	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Magnetococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	20	7	17	15
Malasseziales	0	64	0	65	0	0	0	0	0	0	0	0	0	2	3	0	2	0
Mariprofundales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	11	2
Medeolariales	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methanobacteriales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	3	4	0
Methanococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	1	7	5
Methanomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	29	2	9	4
Methanopyrales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0
Methanosarcinales	0	0	0	0	0	0	0	0	0	0	0	0	0	10	23	4	16	12
Methanotrichales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Methylacidiphilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	3	3
Methylococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	11	33	12	34	35
Methylophilales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8	7
Micropepsales	0	366	79	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microtrichales	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Moorellales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	27	0	4	5
Mortierellales	0	19088	9971	2756	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mucorales	0	83	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycobacteriales	0	701	1214	1055	0	0	0	0	0	0	0	0	0	106	505	38	150	171
Mycoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2
Myxococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myxococcales	0	0	0	289	0	0	0	0	0	0	0	0	0	42	171	22	37	77
Nannocystales	0	0	0	0	314	746	2175	71	0	3	0	0	319	0	0	0	0	0
Nannocystales	0	0	0	0	0	0	0	0	0	0	0	0	0	13	42	2	7	18
Natranaerobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	5	1
Nautiliales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	2
Naviculales	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neocallimastigales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Nitrococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	23	70	23	35	49
Nitrosococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	21	71	32	63	67
Nitrososphaerales	0	0	0	0	0	0	0	0	0	0	0	0	0	67	61	4	3	9
Nitrospherales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nitrospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Obscuribacterales	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oligoflexales	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Onygenales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	63	2	5	6
Ophiostomatales	0	0	85	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0
Opitutales	0	0	0	0	128	170	445	17	4	0	0	0	8	0	0	0	0	0
Opitutales	0	49	42	0	0	0	0	0	0	0	0	0	0	4	41	4	27	55
Oscillospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	5	12	11
Ostropales	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillales	0	0	0	0	0	0	0	0	0	0	0	0	0	7	89	6	14	21
Paraglomerales	0	0	1232	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parvibaculales	0	0	0	0	0	0	0	0	0	0	0	0	0	9	44	17	84	73
Pedosphaerales	0	1114	2113	3250	0	0	0	0	0	0	0	0	0	8	47	1	12	23
Pelagibacterales	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Pelagibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	8	385	1971	924
Peptostreptococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	14	3	21	16
Petrotogales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	1	3	6
Pezizales	0	34	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phaeomoniellales	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phycisphaerales	0	0	0	0	39	0	396	45	7	0	0	15	23	0	0	0	0	0
Pirellulales	0	0	0	0	9	0	7	0	0	0	0	0	5	0	0	0	0	0
Pirellulales	0	63	0	0	0	0	0	0	0	0	0	0	0	26	173	6	9	71
Piscirickettsiales	0	0	0	0	8	0	1	0	14	1	0	5	3	0	0	0	0	0
Planctomycetales	0	0	0	50	0	0	0	0	0	0	0	0	0	39	208	9	35	93
Pleosporales	0	15102	2794	511	0	0	0	0	0	0	0	0	0	1	7	0	1	0
Pneumocystales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Polyangiales	0	0	150	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1
Polyporales	0	73	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Prasiolales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	6	14
Propionibacteriales	0	0	101	0	0	0	0	0	0	0	0	0	0	4	62	7	15	31
PS1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	10	3
Pseudomonadales	0	0	0	0	14012	10592	33105	8663	31524	14910	17545	21724	17227	0	0	0	0	0
Pseudomonadales	0	1031	0	65	0	0	0	0	0	0	0	0	0	148	494	985	1036	1067
Pucciniales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1
Puniceispirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	17	34	134	53
Rhabditida	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobiales	0	2166	3413	2988	0	0	0	0	0	0	0	0	0	231	816	393	1568	1175
Rhizophydiales	0	0	174	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacterales	0	0	0	0	4522	5598	10998	3185	7827	972	665	1782	2202	0	0	0	0	0
Rhodobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	180	737	335	1241	1471
Rhodospirillales	0	0	0	0	0	0	10	5	0	1	0	12	1	0	0	0	0	0
Rhodospirillales	0	0	0	0	0	0	0	0	0	0	0	0	0	18	60	30	101	83
Rhodothermales	0	0	0	0	1	135	890	1	0	0	0	0	870	0	0	0	0	0
Rhodothermales	0	0	0	0	0	0	0	0	0	0	0	0	0	22	127	5	22	41
Rhytismatales	0	271	0	2611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsiales	0	0	0	0	0	0	0	0	0	0	0	0	0	3	22	25	170	97
Rubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rubrobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	31	1	5	6
Russulales	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharimonadales	0	22	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomycetales	0	2364	3866	329	0	0	0	0	0	0	0	0	0	7	31	1	5	11
Sebacinales	0	0	0	1289	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Selenomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	0	2	8
Silvanigrellales	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Solirubrobacterales	0	1706	1040	514	0	0	0	0	0	0	0	0	0	4	24	1	2	5
Sordariales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sordariales	0	386	1520	2498	0	0	0	0	0	0	0	0	0	3	7	2	1	3
Sphingobacteriales	0	44	85	148	0	0	0	0	0	0	0	0	0	9	71	20	61	122
Sphingomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	22	105	67	213	246
Spizellomycetales	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporidiobolales	0	374	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sporomusales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	2	0
Staphylococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	13	25	20	15
Streptomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	38	231	28	44	67
Streptosporangiales	0	0	0	0	0	0	0	0	0	0	0	0	0	17	75	1	26	17
Subgroup 13	0	379	194	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subgroup 2	0	585	237	1090	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subgroup 5	0	159	102	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Subgroup 7	0	0	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulfolobales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	10	2	10	4
Synechococcales	0	0	0	0	2	0	1	13	3	0	4	2	1	0	0	0	0	0
Synechococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	26	85	225	1042	535
Synergistales	0	0	0	0	0	0	0	0	0	0	0	0	0	4	25	2	3	7
Syntrophales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	29	3	6	7
Syntrophobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Syntrophobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	26	1	13	11
Syntrophomonadales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	8	8
Tepidisphaerales	0	164	100	505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thelebolales	0	41814	7064	357	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermaerobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	10	27	2	2	7
Thermincolales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	2	0
Thermoactinomycetales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Thermoanaerobacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	12	53	10	59	43
Thermobaculales	0	0	0	0	0	0	0	0	0	0	0	0	0	7	32	3	7	10
Thermococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	6	15	0	9	6
Thermodesulfovibrionales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	6	2
Thermofilales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
Thermomicrobiales	0	0	0	0	0	0	0	0	0	0	0	0	0	25	63	3	8	4
Thermoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	2	4
Thermoproteales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	13	0	0	1
Thermosediminibacterales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	11	0	3	1
Thermosynechococcales	0	0	0	0	0	0	0	0	0	0	0	0	0	83	168	31	123	118
Thermotogales	0	0	0	0	0	0	0	0	0	0	0	0	0	10	25	3	18	7
Thiohalorhabdales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thiomicrospirales	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	12	13	16
Tissierellales	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	4	14	9
Togniniales	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trebouxiales	0	22	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trechisporales	0	328	3735	1881	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tremellales	0	895	3843	691	0	0	0	0	0	0	0	0	0	0	1	2	1	4
Treponematales	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11	2	1	6
Trichosporonales	0	25044	2448	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Umbelopsidales	0	0	1132	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ustilaginales	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0
Veillonellales	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	1	10	9
Venturiales	0	45	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verrucomicrobiales	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
